# rho theta Phi
4.204759208325727826e+01 4.758310327698339615e-02 3.419404506683349609e+00
4.404543109109047805e+01 4.542327942157701332e-02 3.402136087417602539e+00
4.604345773288535071e+01 4.345089539153083880e-02 3.385142803192138672e+00
4.804164859785725383e+01 4.164257909858842116e-02 3.368418693542480469e+00
5.003998401278721531e+01 3.997868712329004370e-02 3.351957321166992188e+00
5.203844732503075221e+01 3.844259002118798063e-02 3.335752725601196289e+00
5.403702434442518410e+01 3.702011587393002484e-02 3.319798946380615234e+00
5.603570290448760005e+01 3.569911267932397020e-02 3.304089784622192383e+00
5.803447251418763386e+01 3.446910099950801359e-02 3.288619756698608398e+00
6.003332407921453751e+01 3.332099587824719628e-02 3.273382902145385742e+00
6.203224967708329274e+01 3.224688243525392073e-02 3.258373737335205078e+00
6.403124237432848531e+01 3.123983343026827744e-02 3.243586540222167969e+00
6.603029607687670932e+01 3.029375991877510110e-02 3.229016304016113281e+00
6.802940540677980152e+01 2.940328820400511453e-02 3.214657545089721680e+00
7.002856560004639164e+01 2.856365783875999473e-02 3.200505018234252930e+00
7.202777242147642767e+01 2.777063659342103585e-02 3.186554193496704102e+00
7.402702209328698757e+01 2.702044918726478895e-02 3.172800064086914062e+00
7.602631123499284627e+01 2.630971725292219343e-02 3.159237861633300781e+00
7.802563681252463823e+01 2.563540852167748088e-02 3.145863056182861328e+00
8.002499609497021993e+01 2.499479361892015944e-02 0.000000000000000000e+00
8.202438661763950734e+01 2.438540917271853764e-02 0.000000000000000000e+00
8.402380615040001999e+01 2.380502618506994197e-02 0.000000000000000000e+00
8.602325267042627388e+01 2.325162281046291510e-02 0.000000000000000000e+00
8.802272433866154699e+01 2.272336084164106387e-02 0.000000000000000000e+00
9.002221947941519886e+01 2.221856532671906068e-02 0.000000000000000000e+00
9.202173656261872736e+01 2.173570684179266729e-02 0.000000000000000000e+00
9.402127418834527361e+01 2.127338602406120271e-02 0.000000000000000000e+00
9.602083107326242839e+01 2.083032003621708428e-02 0.000000000000000000e+00
9.802040603874276314e+01 2.040533068653808610e-02 0.000000000000000000e+00
1.000199980003998945e+02 1.999733397315053146e-02 0.000000000000000000e+00
1.020196059588547968e+02 1.960533085720468638e-02 0.000000000000000000e+00
1.040192289915667487e+02 1.922839909970720795e-02 0.000000000000000000e+00
1.060188662455885691e+02 1.886568602167078626e-02 0.000000000000000000e+00
1.080185169311262143e+02 1.851640206800904409e-02 0.000000000000000000e+00
1.100181803158005351e+02 1.817981507297828161e-02 0.000000000000000000e+00
1.120178557195235669e+02 1.785524513955251413e-02 0.000000000000000000e+00
1.140175425099137954e+02 1.754206005740248722e-02 0.000000000000000000e+00
1.160172400981854111e+02 1.723967119452969599e-02 0.000000000000000000e+00
1.180169479354554340e+02 1.694752980640491097e-02 0.000000000000000000e+00
1.200166655094199797e+02 1.666512371394074724e-02 0.000000000000000000e+00
1.220163923413571467e+02 1.639197430800526725e-02 0.000000000000000000e+00
1.240161279834199632e+02 1.612763384363623612e-02 0.000000000000000000e+00
1.260158720161869184e+02 1.587168299179005093e-02 0.000000000000000000e+00
1.280156240464420705e+02 1.562372862047683129e-02 0.000000000000000000e+00
1.300153837051600476e+02 1.538340178059515069e-02 0.000000000000000000e+00
1.320151506456739980e+02 1.515035587476981117e-02 0.000000000000000000e+00
1.340149245420076340e+02 1.492426499008498754e-02 0.000000000000000000e+00
1.360147050873544288e+02 1.470482237785143177e-02 0.000000000000000000e+00
1.380144919926889315e+02 1.449173906550002208e-02 0.000000000000000000e+00
